1,0.3118
2,0.3097
3,0.1755
4,0.2904
5,0.2811
6,0.2498
7,0.2604
8,0.2608
9,0.2478
10,0.2590
11,0.2337
12,0.2503
13,0.2294
14,0.2500
15,0.2075
16,0.1842
17,0.2195
18,0.2986
19,0.3060
20,0.2850
21,0.2793
22,0.2879
23,0.2792
24,0.2776
25,0.2716
26,0.2884
27,0.2928
28,0.2857
29,0.2878
30,0.2905
31,0.3020
32,0.3155
33,0.2943
34,0.2741
35,0.3035
36,0.2918
37,0.2881
38,0.2807
39,0.3052
40,0.3023
41,0.3165
42,0.3123
43,0.3412
44,0.3203
45,0.3153
46,0.3101
47,0.3030
48,0.3069
49,0.3000
50,0.3175
51,0.3122
52,0.3137
53,0.3252
54,0.3158
55,0.3109
56,0.3068
57,0.3241
58,0.3058
59,0.3271
60,0.3211
61,0.3066
62,0.3141
63,0.3099
64,0.3035
65,0.3083
66,0.3134
67,0.3244
68,0.3162
69,0.3551
70,0.3574
71,0.3571
72,0.3325
73,0.3400
74,0.3291
75,0.2318
76,0.2646
77,0.2600
78,0.2575
79,0.2491
80,0.2457
81,0.3396
82,0.3241
83,0.3238
84,0.3370
85,0.3647
86,0.3741
87,0.3682
88,0.3654
89,0.3745
90,0.3548
91,0.3252
92,0.3265
93,0.3300
94,0.3260
95,0.2640
96,0.2776
97,0.2989
98,0.2551
99,0.2668
100,0.2691
101,0.2753
102,0.3180
103,0.3350
104,0.3340
105,0.3379
106,0.3282
107,0.3166
108,0.3136
109,0.3139
110,0.3224
111,0.3306
112,0.3315
113,0.3307
114,0.3490
115,0.3333
116,0.3367
117,0.2350
118,0.2866
119,0.3215
120,0.3068
121,0.3219
122,0.3304
123,0.3302
124,0.3204
125,0.3018
126,0.3111
127,0.3059
128,0.2953
129,0.3180
130,0.3195
131,0.2183
132,0.3160
133,0.2882
134,0.3047
135,0.2973
136,0.3032
137,0.3006
138,0.1889
139,0.3006
140,0.2890
141,0.3119
142,0.3163
143,0.3311
144,0.3203
145,0.3019
146,0.2947
147,0.3108
148,0.2997
149,0.3556
150,0.3455
151,0.3514
152,0.3392
153,0.3356
154,0.2810
155,0.3481
156,0.3178
157,0.3252
158,0.2951
159,0.3257
160,0.3239
161,0.2920
162,0.2749
163,0.3095
164,0.3036
165,0.3201
166,0.3299
167,0.2997
168,0.3122
169,0.3211
170,0.3230
171,0.2978
172,0.3123
173,0.3057
174,0.2936
175,0.3214
176,0.3058
177,0.2640
178,0.2748
179,0.3086
180,0.3157
181,0.3164
182,0.3288
183,0.2747
184,0.2343
185,0.2740
186,0.3068
187,0.2977
188,0.2849
189,0.2967
190,0.1908
191,0.2415
192,0.2135
193,0.2293
194,0.1974
195,0.2062
196,0.2004
197,0.1763
198,0.1964
199,0.2009
200,0.1958
201,0.1751
202,0.1878
203,0.1970
204,0.1793
205,0.1940
206,0.1979
207,0.1944
208,0.2098
209,0.1814
210,0.2119
211,0.1828
212,0.2212
213,0.2521
214,0.3028
215,0.3165
216,0.2729
217,0.2534
218,0.2505
219,0.3149
220,0.3112
221,0.2662
222,0.2988
223,0.2723
224,0.2620
225,0.2708
226,0.2962
227,0.2942
228,0.3132
229,0.3144
230,0.3096
231,0.2937
232,0.3020
233,0.3109
234,0.3217
235,0.2201
236,0.2831
237,0.3021
238,0.2950
239,0.3101
240,0.3135
241,0.2902
242,0.3140
243,0.3033
